sourceName,double,speed,length,Asym
1,0.261,2.90801718,28.74015748,0
1,0.282,3.690944882,32.67716535,0
1,0.254,3.243557623,29.52755906,0
1,0.302,3.802791696,32.67716535,0.01
1,0.3,2.617215462,25.59055118,0
1,0.246,2.68432355,25.98425197,0
1,0.264,4.004115963,35.03937008,0
1,0.27,3.556728704,31.49606299,0
1,0.283,3.489620616,31.1023622,0
1,0.268,3.333035075,30.70866142,0.01
1,0.277,3.355404438,29.92125984,0
1,0.331,3.355404438,29.52755906,0
1,0.307,2.236936292,22.44094488,0
1,0.283,2.326413744,24.01574803,0
1,0.267,3.310665712,30.70866142,0
1,0.281,3.467251253,31.1023622,0
1,0.288,3.198818898,29.52755906,0
1,0.288,3.042233357,29.13385827,0
1,0.321,2.975125268,28.34645669,0
1,0.286,2.192197566,25.59055118,0.01
1,0.26,3.086972083,28.74015748,0
1,0.27,3.690944882,32.28346457,0
1,0.267,3.042233357,26.37795276,0
1,0.286,3.265926986,30.70866142,0
1,0.278,2.975125268,29.92125984,0
1,0.26,3.355404438,30.70866142,0
1,0.261,3.735683608,33.07086614,0
1,0.258,3.713314245,33.46456693,0
1,0.267,3.780422334,33.46456693,0
1,0.254,3.60146743,31.88976378,0
1,0.242,3.825161059,33.07086614,0
1,0.233,4.093593414,34.2519685,0.01
1,0.245,4.160701503,35.03937008,0
1,0.286,3.959377237,33.85826772,0
1,0.257,2.997494631,26.37795276,0
1,0.276,3.668575519,31.1023622,0
1,0.289,3.221188261,27.55905512,0
1,0.322,2.975125268,27.95275591,0
1,0.323,1.61059413,18.8976378,0
1,0.355,2.37115247,24.80314961,0
1,0.318,1.856657122,20.47244094,0
1,0.324,1.655332856,19.29133858,0
1,0.328,2.482999284,25.98425197,0
1,0.295,2.326413744,24.80314961,0.07
1,0.309,2.214566929,22.04724409,0
1,0.334,2.952755906,27.16535433,0
1,0.264,2.572476736,24.80314961,0.04
1,0.26,2.14745884,21.65354331,0.1
1,0.26,3.668575519,32.28346457,0.1
1,0.258,3.646206156,32.67716535,0.12
1,0.252,3.758052971,32.28346457,0
1,0.275,3.802791696,32.67716535,0
1,0.29,3.869899785,32.67716535,0
1,0.31,3.400143164,30.31496063,0
1,0.316,2.90801718,27.55905512,0
1,0.287,2.326413744,23.22834646,0
1,0.305,2.214566929,24.01574803,0
1,0.3,2.840909091,25.98425197,0
1,0.297,2.572476736,25.19685039,0
1,0.273,2.729062276,25.19685039,0
1,0.29,2.706692913,27.55905512,0
1,0.291,3.221188261,27.16535433,0
1,0.281,2.796170365,26.37795276,0
1,0.286,2.975125268,27.95275591,0
1,0.298,3.109341446,27.16535433,0
1,0.281,3.06460272,27.16535433,0
1,0.301,2.930386543,25.98425197,0
1,0.295,3.154080172,28.34645669,0
1,0.305,2.661954188,24.80314961,0
1,0.276,2.594846099,24.40944882,0
1,0.319,2.482999284,25.19685039,0
1,0.269,3.377773801,30.31496063,0
1,0.262,2.125089477,24.01574803,0
1,0.248,3.623836793,31.49606299,0
1,0.277,3.623836793,32.67716535,0.07
1,0.29,3.847530422,31.1023622,0
1,0.274,3.355404438,30.31496063,0
1,0.277,2.975125268,27.16535433,0
1,0.268,3.400143164,30.31496063,0
1,0.266,3.221188261,29.92125984,0
1,0.277,3.489620616,30.70866142,0
1,0.287,3.511989979,31.88976378,0
1,0.268,3.333035075,29.92125984,0
1,0.267,3.154080172,28.34645669,0
1,0.268,3.556728704,31.88976378,0
1,0.272,3.511989979,30.70866142,0
1,0.262,3.534359341,30.70866142,0
1,0.314,3.467251253,30.70866142,0
1,0.281,3.623836793,31.88976378,0
1,0.283,2.281675018,23.62204724,0
1,0.281,3.265926986,29.92125984,0
1,0.275,3.221188261,29.13385827,0
1,0.275,3.243557623,29.52755906,0
1,0.265,3.377773801,30.31496063,0
1,0.27,3.400143164,30.70866142,0
1,0.264,3.646206156,32.28346457,0
1,0.316,3.534359341,31.49606299,0
1,0.303,3.690944882,32.28346457,0
1,0.299,2.460629921,23.22834646,0
1,0.297,2.617215462,23.22834646,0
1,0.269,2.68432355,24.01574803,0
1,0.301,2.639584825,24.40944882,0
1,0.273,3.489620616,30.70866142,0
1,0.299,2.818539728,25.19685039,0.01
1,0.258,3.44488189,30.31496063,0.3
1,0.267,2.572476736,24.80314961,0
1,0.264,3.690944882,31.1023622,0.1
1,0.286,3.534359341,30.31496063,0
1,0.272,3.467251253,29.52755906,0
1,0.277,3.06460272,27.95275591,0
1,0.274,3.377773801,30.31496063,0
1,0.291,3.243557623,29.92125984,0
1,0.274,3.198818898,27.55905512,0
1,0.275,2.840909091,27.55905512,0
1,0.311,3.355404438,30.31496063,0
1,0.31,3.400143164,31.49606299,0
1,0.302,2.393521832,24.80314961,0
1,0.257,2.14745884,21.65354331,0
1,0.311,2.594846099,25.59055118,0
1,0.298,3.758052971,31.88976378,0
1,0.28,2.415891195,24.80314961,0
1,0.293,2.661954188,24.40944882,0
1,0.327,3.042233357,27.16535433,0.09
1,0.286,2.818539728,26.77165354,0
1,0.308,2.236936292,21.25984252,0
1,0.343,3.086972083,29.13385827,0
1,0.289,2.729062276,28.74015748,0
1,0.294,2.125089477,24.80314961,0
1,0.31,2.997494631,29.52755906,0
1,0.28,2.975125268,29.13385827,0
1,0.267,2.192197566,23.22834646,0
1,0.274,3.176449535,29.92125984,0
1,0.273,3.511989979,31.88976378,0
1,0.286,3.44488189,31.49606299,0
1,0.26,3.400143164,31.1023622,0
1,0.313,3.176449535,28.74015748,0
1,0.309,3.690944882,32.28346457,0
1,0.32,2.729062276,26.77165354,0.09
1,0.312,2.52773801,25.98425197,0
1,0.286,2.37115247,25.19685039,0
1,0.315,2.550107373,25.98425197,0
1,0.303,3.019863994,29.13385827,0.01
1,0.288,2.550107373,24.01574803,0
1,0.276,2.438260558,22.83464567,0
1,0.295,3.109341446,29.13385827,0
1,0.274,3.355404438,31.1023622,0
1,0.263,2.840909091,27.55905512,0
1,0.267,3.825161059,34.64566929,0
1,0.265,3.646206156,32.28346457,0
1,0.258,3.646206156,32.28346457,0
1,0.306,3.690944882,32.67716535,0
1,0.287,3.802791696,33.07086614,0
1,0.259,2.572476736,26.77165354,0
1,0.217,3.019863994,29.13385827,0
1,0.266,3.847530422,33.46456693,0
1,0.272,4.317287044,36.22047244,0
1,0.3,3.511989979,31.1023622,0
1,0.269,3.511989979,31.49606299,0
1,0.303,2.885647817,27.55905512,0
1,0.316,3.422512527,30.70866142,0
1,0.26,2.438260558,25.98425197,0
1,0.25,2.37115247,25.98425197,0
1,0.261,3.623836793,31.88976378,0
1,0.259,3.892269148,33.46456693,0
1,0.284,3.713314245,33.07086614,0
1,0.278,3.713314245,32.67716535,0
1,0.323,2.975125268,30.31496063,0
1,0.278,3.422512527,30.70866142,0
1,0.302,2.125089477,26.37795276,0
1,0.307,3.333035075,30.70866142,0
1,0.272,2.617215462,24.01574803,0
